Seed: 931911414
Researcher: 100
Papers: 400
Edges: 730
RDensity: 0.3
minScore: 0
maxScore: 10
maxResearcherForPaper: 7
maxPaperForResearcher: 15
ToAssign: 250
0 11 7.71
0 47 7
0 97 5.47
0 109 4.48
0 145 3.62
0 300 8.09
0 390 3.94
0 396 3.34
1 33 5.29
1 84 3.8
1 140 6.36
1 167 5.16
1 217 5.86
1 224 3.15
1 246 5.76
1 279 5.32
1 305 5.38
1 337 2.3
1 351 6.84
1 353 5.87
1 373 4.99
1 385 4.52
2 14 7.26
2 102 7.02
2 229 6.17
2 241 2.8
3 121 8.87
3 132 2.61
3 184 6.94
3 252 3.65
3 279 4.81
3 311 2.44
3 320 6.38
3 323 4.05
3 325 3.07
4 17 7.96
4 26 2.11
4 159 5.49
4 184 6.79
4 209 5.16
4 273 6.99
4 276 6.94
4 385 4.98
5 26 1.55
5 92 3.22
5 125 9.28
5 137 4.31
5 158 4.82
5 226 7.32
5 307 5.7
5 319 6.12
5 348 4.29
5 389 4.32
6 53 4.62
6 75 3.09
6 279 4.77
6 353 6.23
7 15 4.34
7 17 8.08
7 62 6.85
7 152 5.5
7 181 4
7 240 7.54
7 265 5.8
7 341 6.28
7 344 8.43
7 362 2.15
8 15 4.76
8 24 6.93
8 58 2.95
8 85 3.33
8 102 6.61
8 117 5.93
8 281 4
9 104 5.24
9 189 4.76
9 194 6.77
9 204 1.58
9 230 4.53
9 254 5.08
9 280 7.99
9 298 4.65
9 361 4.27
10 3 5.17
10 120 2.23
10 133 4.49
10 196 2.5
10 270 4.92
10 278 5.54
10 373 4.4
10 374 5.23
11 276 6.05
11 350 4.91
11 390 3.31
12 70 6.49
12 142 5.03
12 157 3.27
12 240 7.34
12 252 4.33
12 266 7.18
12 276 6.3
12 381 7.23
13 36 4.58
13 37 3.43
13 79 7.76
13 180 9.23
14 0 2.72
14 164 7.5
14 172 3.17
14 178 6.28
14 355 9.27
14 383 7.47
15 6 6.43
15 60 3.72
15 82 3.59
15 207 2.83
15 214 2.18
15 216 6.73
15 219 8.25
15 243 7.19
15 298 4.27
15 301 4.4
15 339 5.52
16 53 4.76
16 62 6.43
16 65 4.18
16 157 3.37
16 233 8.33
16 282 6.59
16 394 5.93
16 399 4.32
17 22 6.6
17 60 4.23
17 75 3.66
17 168 2.08
17 216 6.42
17 218 4.65
17 225 2.27
17 341 6.07
18 10 2.5
18 201 4.17
18 241 2.71
18 321 6.66
18 361 4.27
18 399 5.13
19 199 7.14
19 231 5.35
19 256 5.97
19 291 7.27
19 351 6.49
19 365 5.75
20 3 5.15
20 52 2.7
20 213 7.08
20 236 3.32
20 239 3.99
20 248 6.56
20 287 7.41
20 382 5.91
21 30 3.39
21 63 7.04
21 74 6.97
21 77 4.42
21 103 5.48
21 136 2.74
21 180 9.06
21 301 4.76
21 315 1.32
21 337 3.14
22 86 6.51
22 93 8.99
22 116 4.03
22 292 2.69
23 45 3.55
23 139 3.6
23 149 4.46
23 261 4.25
23 267 5
23 308 6.94
24 4 2.12
24 12 4.4
24 123 2.14
24 161 7.72
24 169 5.29
24 195 5.43
24 244 4.02
24 262 3.17
24 265 5.87
25 23 3.48
25 55 1.2
25 110 5.43
25 161 7.88
25 185 3.4
25 260 3.75
25 289 3.7
25 342 8.8
26 15 4.87
26 18 6.89
26 122 3.45
26 150 2.83
26 267 4.96
26 296 4.27
26 297 2.05
26 373 5.25
27 24 7.41
27 33 5.3
27 44 0.16
27 56 2.86
27 77 5.03
27 128 5.26
27 258 4.62
27 266 7.58
28 53 4.19
28 89 6.97
28 114 4.32
28 170 1.99
28 179 3.91
28 211 5.78
28 284 2.28
28 296 4.63
28 398 7.6
29 0 3
29 8 3.51
29 88 5.97
29 110 6.3
29 154 2.18
29 175 4.08
29 349 6.93
29 379 3.12
30 19 2.3
30 77 4.49
30 165 6.64
30 244 4.05
31 37 3.36
31 96 4.39
31 161 7.48
31 217 5.53
31 268 4.86
31 273 6.17
31 288 6.45
31 317 4.72
32 257 5.98
32 277 3.67
32 297 2.07
32 318 5.42
32 358 2.73
33 103 5.62
33 225 2.09
33 265 5.47
33 270 5.07
33 287 7.22
33 294 4.28
33 322 5.35
34 3 4.87
34 42 9.62
34 84 3.84
34 117 6.3
34 184 6.68
34 209 5.61
34 240 7.94
34 248 6.19
34 249 6.63
34 274 6.55
34 295 4.48
34 314 3.25
34 333 6.84
35 137 3.74
35 181 3.41
35 269 6.2
35 318 5.36
35 384 5.73
36 27 3.33
36 100 4.63
36 160 4.76
36 164 6.68
36 292 1.86
37 13 4.99
37 61 4.91
37 188 6.93
37 205 2.73
37 254 5.35
37 258 4.29
37 265 5.95
37 272 4.11
37 279 5.06
37 285 9.2
37 326 5.9
37 385 5.04
38 57 6.69
38 104 5.3
38 113 4.17
38 164 7.39
38 187 9.67
38 192 5.94
38 259 6.83
38 382 5.44
39 1 5
39 25 7.82
39 29 5.38
39 58 2.81
39 89 7.55
39 135 3.89
39 144 7.73
39 157 3.41
39 165 6
39 288 5.77
40 16 2.57
40 21 3.86
40 131 4.95
40 203 3.79
40 287 7.54
40 365 6.16
41 22 6.6
41 32 4.39
41 70 5.98
41 82 3.45
41 175 3.95
41 202 5.19
41 368 9.75
41 388 5.46
42 11 8.58
42 41 5.02
42 74 7.08
42 126 3.54
42 194 6.92
42 245 6.33
42 354 4.64
43 1 4.51
43 5 4.7
43 300 8.67
43 376 4.27
43 377 3.86
43 382 5.25
44 28 7.14
44 77 4.43
44 90 4
44 139 4.11
44 157 3.74
44 223 9.71
44 329 4.91
44 346 2.67
44 391 4.5
44 397 1.04
45 9 3.87
45 12 4.25
45 209 5.59
45 228 0
45 254 5.03
45 340 6.23
46 7 7.43
46 42 9.76
46 68 4.53
46 69 2.8
46 71 6.99
46 81 4.11
46 90 4.11
46 132 2.75
46 254 5.63
46 265 5.64
46 275 6.47
46 295 5
47 10 2.54
47 94 6.09
47 105 3.67
47 234 3.75
47 283 5.41
47 359 2.69
48 181 4.09
48 190 2.29
48 215 8.39
48 254 5.45
48 294 3.45
48 372 5.73
49 47 7.1
49 76 4.34
49 91 4.91
49 148 3.36
49 170 1.92
49 217 5.63
49 225 1.98
49 292 2.37
49 371 3.92
50 73 6.6
50 111 4.54
50 168 2.51
50 193 7.66
50 290 4.04
50 372 5.69
51 71 6.13
51 85 2.69
51 105 3.79
51 106 6.52
51 124 7.21
51 177 5.86
51 255 3.94
51 397 0.98
52 20 5.22
52 117 5.66
52 257 5.95
53 22 6.71
53 94 6.29
53 165 6.67
53 175 3.81
53 259 7.48
53 320 5.76
54 177 6.22
54 185 3.57
54 198 5.62
54 219 8.79
54 225 2.51
54 238 2.33
54 268 5.53
54 289 4.04
55 48 5.7
55 161 7.67
55 304 8.76
55 332 7.85
55 341 6.28
56 16 2.79
56 188 6.58
56 271 3.4
56 361 4.57
57 1 4.15
57 87 7.64
57 108 5.72
57 172 2.82
57 189 4.25
57 215 8.07
57 232 2.6
57 353 6.06
58 64 7.08
58 83 4.52
58 134 5.76
58 197 7.55
58 199 7.12
58 357 5.07
58 381 6.9
59 149 4.38
59 189 4.49
59 372 5.78
60 0 2.45
60 7 7.11
60 39 3.35
60 143 5.07
60 162 3.98
60 171 4.86
60 336 5.26
60 337 2.93
60 347 3.14
60 369 4.95
61 80 7.15
61 127 2.11
61 166 2.88
61 253 3.91
61 299 5.89
61 309 3.83
61 310 6.01
61 334 4.28
61 372 6.2
62 49 0
62 112 5.47
62 162 4.02
62 177 6.81
62 200 4.91
62 227 3.51
62 351 6.21
63 31 3.97
63 67 5.82
63 95 3.23
63 124 6.89
63 161 7.51
63 303 4.52
64 47 7.05
64 49 0.49
64 53 4.78
64 59 5.23
64 149 4.25
64 150 2.98
64 191 5.29
64 202 5.21
64 208 8.57
64 222 2.73
64 285 9.6
64 331 5.41
65 7 7.23
65 78 6.4
65 101 2.68
65 115 7.15
65 179 4.7
65 183 7.45
65 186 4.1
65 188 7.09
65 244 3.69
65 305 5.95
65 317 3.93
66 16 3.11
66 23 2.96
66 46 5.81
66 377 4.42
67 37 2.93
67 55 0.86
67 58 3.64
67 133 4.19
67 253 4.6
67 381 6.95
68 130 5.44
68 182 7.62
68 312 2.07
68 345 7.35
68 365 5.55
68 380 5.67
69 7 6.96
69 36 5.01
69 68 3.93
69 72 2.78
69 112 5.63
69 146 3.28
69 224 2.86
69 291 6.58
69 361 4.71
69 395 5.49
70 25 8.38
70 99 2.89
70 108 6.04
70 180 9.21
70 201 4.06
70 253 3.79
70 324 7.01
70 399 4.33
71 84 4.48
71 104 5.98
71 125 8.55
71 138 1.23
71 145 4.12
71 205 2.19
71 259 6.58
71 264 5.97
71 343 5.26
71 371 3.75
72 5 3.78
72 14 6.53
72 89 7.01
72 118 6.94
72 129 6.7
72 136 1.89
72 145 4.04
72 352 4.69
73 54 6.84
73 181 3.54
73 214 1.76
73 359 2.83
73 360 2.33
74 19 2.94
74 25 7.99
74 40 6.37
74 109 4.73
74 147 6.5
74 201 3.69
74 226 6.91
74 244 4.35
74 261 4.42
74 363 5.16
