Seed: 1177728638
Researcher: 80
Papers: 1760
Edges: 3859
RDensity: None
minScore: 0
maxScore: 10
maxResearcherForPaper: None
maxPaperForResearcher: None
ToAssign: 200
0 112 3
0 118 7
0 166 5
0 200 2
0 203 6
0 260 4
0 310 2
0 317 7
0 321 5
0 323 2
0 365 2
0 423 6
0 575 8
0 609 4
0 639 7
0 709 2
0 747 7
0 750 4
0 862 8
0 885 6
0 910 7
0 920 4
0 936 6
0 937 6
0 961 1
0 1014 2
0 1024 6
0 1056 4
0 1129 6
0 1259 6
0 1284 3
0 1298 3
0 1348 9
0 1412 6
0 1493 7
0 1512 8
0 1542 6
0 1644 3
0 1659 4
0 1684 6
0 1710 5
0 1729 6
0 1730 7
0 1759 0
1 15 7
1 26 8
1 195 10
1 206 4
1 248 0
1 278 1
1 383 2
1 393 1
1 419 6
1 467 3
1 477 7
1 554 0
1 562 7
1 617 1
1 634 10
1 641 7
1 659 4
1 677 4
1 695 4
1 701 4
1 744 4
1 751 8
1 753 6
1 759 2
1 769 10
1 786 7
1 796 5
1 804 6
1 817 3
1 830 7
1 859 6
1 927 2
1 941 7
1 968 3
1 976 2
1 1019 5
1 1104 5
1 1208 4
1 1239 6
1 1246 8
1 1320 2
1 1339 5
1 1460 5
1 1485 2
1 1510 1
1 1522 4
1 1663 6
1 1676 5
1 1693 3
1 1759 0
2 6 3
2 74 8
2 87 4
2 88 5
2 119 6
2 182 7
2 323 3
2 338 2
2 367 7
2 376 5
2 390 3
2 418 8
2 436 0
2 444 4
2 454 5
2 481 6
2 547 2
2 551 6
2 570 6
2 598 4
2 620 1
2 660 9
2 710 4
2 727 6
2 737 4
2 815 4
2 821 8
2 832 4
2 847 8
2 876 4
2 909 3
2 935 4
2 967 8
2 976 3
2 989 2
2 1014 4
2 1018 7
2 1052 5
2 1065 5
2 1069 7
2 1074 7
2 1112 9
2 1134 7
2 1153 4
2 1171 4
2 1190 3
2 1200 4
2 1226 5
2 1266 6
2 1333 4
2 1352 3
2 1353 3
2 1367 4
2 1376 6
2 1390 3
2 1413 4
2 1434 8
2 1444 8
2 1449 6
2 1470 5
2 1479 7
2 1505 7
2 1544 5
2 1546 5
2 1548 3
2 1557 6
2 1578 4
2 1588 7
2 1594 3
2 1657 8
2 1668 8
2 1714 3
2 1718 7
2 1726 2
3 256 0
3 776 0
3 1175 3
3 1432 1
3 1483 10
3 1758 5
4 76 4
4 95 6
4 101 8
4 163 6
4 181 5
4 228 7
4 239 5
4 247 3
4 258 9
4 295 5
4 301 3
4 311 3
4 341 4
4 401 7
4 411 2
4 449 3
4 455 2
4 484 4
4 493 9
4 538 5
4 601 3
4 653 2
4 665 0
4 781 3
4 823 6
4 878 7
4 890 4
4 1006 4
4 1045 6
4 1079 5
4 1102 7
4 1110 6
4 1113 5
4 1200 4
4 1220 6
4 1231 6
4 1257 4
4 1270 3
4 1282 3
4 1303 6
4 1318 7
4 1321 6
4 1323 5
4 1370 3
4 1392 3
4 1402 3
4 1439 9
4 1473 3
4 1488 9
4 1497 5
4 1507 4
4 1530 5
4 1554 4
4 1750 3
5 15 6
5 33 9
5 38 7
5 55 8
5 80 2
5 97 6
5 102 4
5 148 3
5 214 0
5 215 5
5 242 6
5 291 2
5 301 3
5 329 3
5 379 5
5 401 6
5 429 4
5 451 5
5 512 4
5 533 5
5 562 6
5 572 5
5 585 5
5 588 2
5 596 8
5 634 9
5 719 0
5 722 7
5 723 1
5 734 7
5 740 3
5 755 5
5 756 4
5 769 8
5 803 0
5 811 3
5 834 10
5 843 4
5 847 7
5 864 6
5 968 4
5 994 4
5 1015 6
5 1024 8
5 1050 5
5 1052 6
5 1083 8
5 1148 4
5 1195 5
5 1217 3
5 1237 6
5 1256 6
5 1295 5
5 1346 5
5 1379 4
5 1468 2
5 1487 4
5 1513 3
5 1555 6
5 1581 2
5 1599 1
5 1686 2
5 1701 3
5 1721 5
5 1757 3
6 4 2
6 30 4
6 53 5
6 137 6
6 149 6
6 209 3
6 224 1
6 251 3
6 257 8
6 287 4
6 297 4
6 303 2
6 307 2
6 313 4
6 357 5
6 359 3
6 377 4
6 386 8
6 407 2
6 423 6
6 426 5
6 441 7
6 442 5
6 465 7
6 467 3
6 549 7
6 642 2
6 655 6
6 661 5
6 666 9
6 667 9
6 676 7
6 683 1
6 714 0
6 734 7
6 768 5
6 779 5
6 799 5
6 817 5
